path	type	species	counts	natoms	contcar_size	tebeg	teend	nsw
nscc1741_XM/xumeng/1-PCM/6-Sb2Te3/vdos/1-0-3000	md-amorphous	Sb Te	120 180	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/10-SnTe/temperature/1-300k	md-amorphous	Sn Te	150 150	300	77508	300.0	300.0	50
nscc1741_XM/xumeng/1-PCM/10-SnTe/temperature/2-400k	md-amorphous	Sn Te	150 150	300	77508	400.0	400.0	50
nscc1741_XM/xumeng/1-PCM/10-SnTe/vdos/1-0-3000	md-amorphous	Sn Te	150 150	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/12-PbSe/vdos/1-vdos-0-5000	md-amorphous	Pb Se	150 150	300	77508	300.0	300.0	5000
nscc1741_XM/xumeng/1-PCM/13-GeS/vdos/1-0-3000	md-amorphous	Ge S	150 150	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/14-Si/vdos/1-2-2000	md-amorphous	Si	300	300	77497	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/14-Si/vdos/2-1-1000	md-amorphous	Si	300	300	77497	300.0	300.0	1000
nscc1741_XM/xumeng/1-PCM/14-Si/vdos/3-1-2000	md-amorphous	Si	300	300	77497	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/14-Si/vdos/4-1-3000	md-amorphous	Si	300	300	77497	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/14-Si/vdos/5-2-5000	md-amorphous	Si	300	300	77497	300.0	300.0	5000
nscc1741_XM/xumeng/1-PCM/14-Si/vdos/6-5-400	md-amorphous	Si	300	300	77497	300.0	300.0	400
nscc1741_XM/xumeng/1-PCM/14-Si/vdos/7-1-5000	md-amorphous	Si	300	300	77497	300.0	300.0	5000
nscc1741_XM/xumeng/1-PCM/14-Si/vdos/8-10000	md-amorphous	Si	300	300	77497	300.0	300.0	10000
nscc1741_XM/xumeng/1-PCM/14-Si/vdos/9-0.5-2000	md-amorphous	Si	300	300	77497	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/14-Si/vdos/10-0.5-4000	md-amorphous	Si	300	300	77497	300.0	300.0	4000
nscc1741_XM/xumeng/1-PCM/14-Si/vdos/11-1-1000	md-amorphous	Si	300	300	77497	300.0	300.0	1000
nscc1741_XM/xumeng/1-PCM/14-Si/vdos/12-1-2000	md-amorphous	Si	300	300	77497	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/14-Si/vdos/13-1-5000	md-amorphous	Si	300	300	77497	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/14-Si/vdos/14-1-5000-0	md-amorphous	Si	300	300	77497	300.0	300.0	5000
nscc1741_XM/xumeng/1-PCM/14-Si/vdos/15-1-3000-0	md-amorphous	Si	300	300	77497	300.0	300.0	5000
nscc1741_XM/xumeng/1-PCM/15-GST-225/vdos/1-0-3000	md-amorphous	Ge Sb Te	68 68 170	306	79061	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/15-GST-225/vdos/2-1-4000	md-amorphous	Ge Sb Te	68 68 170	306	79061	300.0	300.0	4000
nscc1741_XM/xumeng/1-PCM/15-GST-225/vdos/3-2-4000	md-amorphous	Ge Sb Te	68 68 170	306	79061	300.0	300.0	4000
nscc1741_XM/xumeng/1-PCM/15-GST-225/vdos/4-0-6000	md-amorphous	Ge Sb Te	68 68 170	306	79061	300.0	300.0	6000
nscc1741_XM/xumeng/1-PCM/15-GST-225/pressure/2-2%	md-amorphous	Ge Sb Te	68 68 170	306	79061	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/15-GST-225/pressure/1-0GPa	md-amorphous	Ge Sb Te	68 68 170	306	79061	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/15-GST-225/pressure/3-5%	md-amorphous	Ge Sb Te	68 68 170	306	79061	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/15-GST-225/pressure/4-10%	md-amorphous	Ge Sb Te	68 68 170	306	79061	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/16-AIST/vdos/1-0-5000	md-amorphous	Ag In Sb Te	12 9 201 78	300	77530	300.0	300.0	5000
nscc1741_XM/xumeng/1-PCM/21-PbTe/temperature/1-300k	md-amorphous	Pb Te	150 150	300	77508	300.0	300.0	50
