path	type	species	counts	natoms	contcar_size	tebeg	teend	nsw
yyf/5-O/7-INGAO/4-models/STRUCTURE_46/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_4/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_9/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_10/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_11/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_14/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_19/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_20/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_24/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_28/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_31/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_35/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_40/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_44/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_48/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_2/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_13/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_17/3-opt	opt	In Ga O	14 2 24	40	4714			1000
